"SourcePath","CopiedPath","SizeBytes","SHA256","ExactCopy"
"outputs/PILZ_PLC_HMI_IMPLEMENTATION_2026-08-15/PILZ_PROFINET_LOGICAL_TELEGRAM_PROPOSAL.csv","PILZ/sources/outputs/PILZ_PLC_HMI_IMPLEMENTATION_2026-08-15/PILZ_PROFINET_LOGICAL_TELEGRAM_PROPOSAL.csv","2816","395D2845252A0FFC665C5A2E0015D19CADCD8F414C33F3949BA47F78DCD72494","True"
"outputs/PILZ_PLC_HMI_IMPLEMENTATION_2026-08-15/PILZ_SAFETY_LOGIC_IMPLEMENTATION_WORKSHEET.md","PILZ/sources/outputs/PILZ_PLC_HMI_IMPLEMENTATION_2026-08-15/PILZ_SAFETY_LOGIC_IMPLEMENTATION_WORKSHEET.md","2625","8FFFDD00E2C44CAD999397280E3BF18868FE234485D542E6505A57656C9BD69E","True"
"outputs/REV22_PILZ_Safety_Software_HMI_Diagnostics/REV22_Audit_and_Open_Items.md","PILZ/sources/outputs/REV22_PILZ_Safety_Software_HMI_Diagnostics/REV22_Audit_and_Open_Items.md","3037","D52A3E071D52F836D4DE1AEF0F6B17882A5B36E4595BA85D40925A6B316626E1","True"
"outputs/REV23_PILZ_PROFINET_NonSafety_Diagnostics/REV23_Implementation_Ledger.md","PILZ/sources/outputs/REV23_PILZ_PROFINET_NonSafety_Diagnostics/REV23_Implementation_Ledger.md","1161","A858F313406AC67954318C0131FC412DDDDB40C0B4198CAC2AC19EAF637EA6B7","True"
"outputs/REV23_PILZ_PROFINET_NonSafety_Diagnostics/REV23_PILZ_PROFINET_Mapping_Report.md","PILZ/sources/outputs/REV23_PILZ_PROFINET_NonSafety_Diagnostics/REV23_PILZ_PROFINET_Mapping_Report.md","4750","8FAD01F0498E3849BE90A0B037DD68BC61F9DDAF070D465CC8E85081D70EE016","True"
"REV12/00_README_FIRST.md","PILZ/sources/REV12/00_README_FIRST.md","3302","02190B84E7EE9B1779422E801057BAC9231A193FF96CED6965680FA508ED3020","True"
"REV12/Documentation/REV12_IO_Tag_Mapping.csv","PILZ/sources/REV12/Documentation/REV12_IO_Tag_Mapping.csv","2091","F4B9365973838ED6596FD99CA02CE3FF49ABCD48A4BE864FE5570406F65DE14C","True"
"REV12/Documentation/REV12_Master_Cable_Schedule.csv","PILZ/sources/REV12/Documentation/REV12_Master_Cable_Schedule.csv","5616","8E0C1568C92373CB4B58D55B433F45A9F1F1814FCFC69CAE0CFE59DF6AD05F52","True"
"REV12/PLC_Sources/03_FB_MainState.scl","PILZ/sources/REV12/PLC_Sources/03_FB_MainState.scl","6770","29E2B2CCB081D17E7E034032744757D8E04FD8B9C068ED48B98A07BAE86D8156","True"
"REV12/PLC_Sources/09_FB_SMC_ValveManager.scl","PILZ/sources/REV12/PLC_Sources/09_FB_SMC_ValveManager.scl","1981","C50142D6027CEE6570D91F6BF5637DE388A91E198FED59820A5545532E0DEAF3","True"
"REV12/PLC_Sources/10_FB_AlarmManager.scl","PILZ/sources/REV12/PLC_Sources/10_FB_AlarmManager.scl","6148","33721B6763D0665649857F7FCA1788EF02B52D89E508E9A1E33D94AE280C0418","True"
"REV12/PLC_Sources/10A_FB_DoorAccess.scl","PILZ/sources/REV12/PLC_Sources/10A_FB_DoorAccess.scl","5521","E85D20612673487C0739F9C2A055F30E3A3193E99B848AADF43740D81A0EBE44","True"
"REV12/PLC_Sources/11_FB_Application.scl","PILZ/sources/REV12/PLC_Sources/11_FB_Application.scl","52033","902E9216C7A9688CF84AD769EDC2EE19FD1D0B32AE18BC0649FE1CEAB9014E8C","True"
"REV12/REV12_MANIFEST.json","PILZ/sources/REV12/REV12_MANIFEST.json","3065","2CC9016DBDA6B3E119A92FEF0D527719E8F83CC0FFA05F41A00D9AD9BB86DAEB","True"
